id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32994089,"Luxurious Apartment, Heart of Downtown Austin",99232053,Olivia,,78701,30.26308,-97.74558,Entire home/apt,400,2,0,,,1,0
33005824,Downtown East Side Luxe Commuter Closet,3910956,James,,78702,30.278,-97.7124,Private room,43,1,3,2019-03-28,1.53,5,90
33006138,"South Austin House - NEW! Resort-like, 20 min out",15522934,Kent,,78737,30.22682,-97.9281,Entire home/apt,150,2,12,2019-05-14,6.10,2,43
33008640,Cute 3/2 House 17-minutes from Downtown Austin,207190592,Laura,,78748,30.17933,-97.80542,Entire home/apt,200,2,1,2019-03-17,0.51,1,42
33008722,Private bath and bedroom in a 2/2.,4981341,Brennan,,78749,30.23232,-97.84204,Private room,50,1,0,,,1,364
33008776,Central East Austin 1/1 Apartment w/ Cal King Bed,238508621,Scott,,78702,30.2543,-97.71572,Entire home/apt,35,29,0,,,1,287
33013069,Hidden Gem in Southwest Austin,103330947,Candace,,78749,30.22957,-97.87074,Private room,75,1,0,,,1,160
33016494,Cozy #,244659372,Jerry,,78723,30.30692,-97.67901,Entire home/apt,250,7,0,,,2,179
33017227,Channel Rd Lakehouse,19536793,Chris,,78746,30.34396,-97.79167,Entire home/apt,133,3,3,2019-05-05,2.05,1,84
33018390,Bohemian Bungalow - 15 min. drive from Downtown!,6968712,Carly,,78731,30.35808,-97.75345,Entire home/apt,45,1,4,2019-05-08,2.22,1,32
33023497,SWEET STAY,224057251,Bah,,78704,30.25498,-97.74513,Entire home/apt,99,1,4,2019-04-23,2.18,3,206
33024685,Spacious Private Suite w/ King Bed & Bath Near DT,6490356,Duane,,78702,30.26386,-97.7172,Private room,60,1,2,2019-03-27,1.11,4,4
33027154,New-Build on East Side w/ Fenced Yard & Patio,109638288,TurnKey Vacation Rentals,,78702,30.2759,-97.72308,Entire home/apt,184,2,0,,,68,264
33032979,WALK TO THE BEST BARS/RESTAURANTS IN ATX,232733701,Chaney,,78702,30.26316,-97.72639,Entire home/apt,350,1,5,2019-05-05,3.95,1,18
33038232,Dormigo Fabulous 2 Bedroom steps from South Congress,57308515,Dormigo,,78704,30.23791,-97.74132,Entire home/apt,35,1,1,2019-04-02,0.70,27,96
33038840,Dormigo Magnificent 2 Bedroom steps from South Congress,57308515,Dormigo,,78704,30.23575,-97.74278,Entire home/apt,36,1,1,2019-04-03,0.71,27,117
33041221,UT Austin Cottage,248679730,Dj,,78751,30.29801,-97.72107,Private room,69,1,2,2019-04-21,1.30,1,132
33043270,"Oh-So-Suite Private Entrance & Bath, 4 mi to DT!",407093,Paula,,78745,30.22057,-97.78266,Entire home/apt,105,1,21,2019-05-05,10.68,1,77
33043583,Cute 800 sq ft apartment,18122894,Starshine,,78735,30.25197,-97.8687,Entire home/apt,300,2,0,,,1,180
33043883,Private bedroom in a townhouse in central Austin,99946745,John,,78752,30.32473,-97.68338,Private room,55,1,6,2019-05-04,5.62,1,143
33044992,Beautiful condo in the best location in Austin,46934255,Tod,,78704,30.23869,-97.73895,Entire home/apt,115,31,0,,,2,163
33045970,Sleek 2BR in South Congress #177 by WanderJaunt,104309976,WanderJaunt,,78704,30.22773,-97.76072,Entire home/apt,10000,1,9,2019-05-10,4.58,55,167
33065410,No frills travelers home,64821586,Brooke,,78758,30.3713,-97.71833,Private room,35,1,1,2019-04-09,0.83,1,84
33065747,Gorilla House,118565935,Renters Club,,78703,30.30263,-97.77559,Entire home/apt,269,1,1,2019-04-15,1,78,360
33068604,Cozy Studio in the Heart of Austin,248866904,Elizabeth,,78705,30.29151,-97.74453,Private room,68,3,2,2019-05-13,2,2,66
33069703,Dog-Friendly Bouldin Creek Neighborhood Apartment,4995627,Lynn,,78704,30.24465,-97.76461,Entire home/apt,80,29,0,,,4,348
33072977,Apartment with 6th Street access from front door,22301966,Marie,,78702,30.26269,-97.7247,Entire home/apt,250,1,5,2019-05-05,3.85,2,73
33074651,West Sixth (Re)treat,34397643,Christina,,78701,30.27101,-97.74779,Entire home/apt,275,1,6,2019-05-05,5.45,1,229
33075807,Sweet Boho Hideout,12652980,Ashley,,78745,30.22513,-97.78079,Private room,90,1,2,2019-04-14,1.30,1,358
33078099,Private room in East Austin light-filled house,4412317,Sheryl,,78702,30.27858,-97.70977,Private room,120,3,0,,,2,346
33089035,RETREAT House in SOCO! Walk to downtown,5054700,William,,78704,30.23225,-97.74948,Private room,100,1,0,,,2,364
33091164,Short Stroll to SOCO Action,1523587,Dallas,,78704,30.24799,-97.76193,Entire home/apt,275,1,0,,,20,87
33092718,"Quiet, charming South Austin studio",9175143,Zack,,78745,30.22184,-97.78446,Entire home/apt,70,2,0,,,1,324
33095914,Cool little spot!,58863154,Ronny,,78745,30.21192,-97.82139,Private room,75,1,0,,,1,85
33096427,Awesome queen bed private room in luxurious home,93577395,Josh,,78747,30.1374,-97.77236,Private room,55,1,2,2019-03-24,1.02,3,7
33098964,"Cozy, Creative Studio - Walkable to downtown",2212047,Scott DS,,78703,30.27522,-97.75703,Entire home/apt,80,3,0,,,1,19
33099128,Glamping in a 1978 Airstream Land Yacht!,16887866,Carl,,78723,30.29343,-97.68927,Entire home/apt,49,1,9,2019-05-12,5.19,1,15
33103864,"Condo w/ Lake View - On-Site Spa, Bar & Restaurant",109638288,TurnKey Vacation Rentals,,78734,30.37241,-97.98541,Entire home/apt,339,2,0,,,68,347
33109524,Large Room & Shared Living Space in Far West Condo,32610992,Lilly,,78731,30.34693,-97.75166,Private room,100,1,0,,,2,14
